emp_no,first_name,last_name,birth_date,from_date,to_date,title
10686,Avishai,Azadmanesh,5/25/1963,5/17/1987,1/1/9999,Senior Engineer
10688,Xiaopeng,Lanphier,2/28/1964,4/13/1986,1/1/9999,Senior Staff
10690,Matt,Jumpertz,9/6/1962,10/4/1995,1/1/9999,Engineer
10695,Zorica,Acton,8/30/1962,5/19/1998,1/1/9999,Engineer
10699,Hatim,Deverell,2/2/1964,11/17/1985,1/1/9999,Engineer
10705,Hironobu,Wynblatt,6/17/1963,7/18/1990,1/1/9999,Staff
10710,Sorina,Kermarrec,12/25/1962,7/9/1995,1/1/9999,Staff
10711,Arvind,DuBourdieux,6/20/1963,6/21/1991,1/1/9999,Engineer
10716,Aiman,Constantine,10/8/1963,8/12/1987,1/1/9999,Senior Engineer
10721,Bernd,Redmiles,7/12/1964,7/15/1999,1/1/9999,Staff
10723,Eckart,Harnett,1/14/1964,7/14/1997,1/1/9999,Technique Leader
10732,Morris,Andreotta,4/22/1962,12/21/1994,1/1/9999,Senior Engineer
10733,Sangeeta,Rodham,4/6/1962,2/20/1996,1/1/9999,Senior Staff
10735,Morrie,Gewali,9/12/1964,10/29/1985,1/1/9999,Senior Staff
10736,Gurbir,Hellwagner,7/9/1962,9/26/1991,1/1/9999,Senior Engineer
10738,Rosita,Oppitz,10/8/1963,1/6/1992,1/1/9999,Technique Leader
10743,Kiyomitsu,Peltason,12/26/1963,11/5/1999,1/1/9999,Staff
10748,Yuchang,Francisci,4/12/1964,4/4/1992,1/1/9999,Staff
10752,Byong,Conde,7/18/1964,5/28/1993,1/1/9999,Senior Engineer
10758,Fumiyo,Boyle,11/26/1962,7/1/1999,1/1/9999,Engineer
10760,Phillip,Dratva,5/27/1963,8/22/1997,1/1/9999,Senior Staff
10762,Lech,Himler,1/19/1965,1/21/1992,1/1/9999,Senior Staff
10763,Giap,Bolsens,4/15/1962,2/23/1987,1/1/9999,Engineer
10766,Nathalie,Standera,6/10/1964,9/18/1999,1/1/9999,Staff
10769,Vishv,Bouloucos,11/2/1962,8/30/1991,1/1/9999,Technique Leader
10783,Moty,Kenevan,11/13/1963,5/15/1994,1/1/9999,Senior Staff
10785,Keiichiro,Marzano,2/9/1963,11/11/1994,1/1/9999,Senior Engineer
10786,Patricia,dAstous,5/19/1964,12/10/2001,1/1/9999,Senior Engineer
10788,Frazer,Ullian,6/28/1963,5/29/1998,1/1/9999,Staff
10789,Aruna,Journel,5/19/1964,1/26/1998,1/1/9999,Staff
10790,Yurij,Schonegge,4/1/1962,3/2/1999,1/1/9999,Engineer
10794,Teunis,Berztiss,6/26/1962,5/24/1994,1/1/9999,Senior Staff
10804,Terresa,Benantar,2/20/1964,6/9/1997,1/1/9999,Staff
10807,Munehiro,Zallocco,6/23/1964,10/19/1999,1/1/9999,Senior Staff
10809,Shim,Feldhoffer,1/6/1962,2/25/1988,1/1/9999,Engineer
10832,Hidde,Bergere,8/29/1964,10/11/1986,1/1/9999,Staff
10839,Gurbir,Katiyar,4/2/1964,12/30/1996,1/1/9999,Assistant Engineer
10853,Yoshinari,Kalloufi,3/22/1964,5/3/1993,1/1/9999,Technique Leader
10863,Byong,Bhattacharjee,8/5/1962,12/25/1985,1/1/9999,Senior Engineer
10877,Subir,Biron,9/11/1964,6/6/1986,1/1/9999,Senior Staff
10880,Weiye,Nitsche,2/11/1962,1/11/1992,1/1/9999,Senior Engineer
10886,Sushant,Begiun,9/30/1964,3/26/1995,1/1/9999,Engineer
10890,Ramzi,Furudate,4/13/1963,3/10/1990,1/1/9999,Senior Staff
10891,Susanne,Jiang,12/15/1963,10/6/1995,1/1/9999,Assistant Engineer
10896,Adil,Taubenfeld,4/12/1964,11/27/1997,1/1/9999,Engineer
10899,Valery,Rousseau,5/11/1962,4/5/1990,1/1/9999,Senior Staff
10907,JiYoung,Luks,9/26/1963,12/25/1988,1/1/9999,Senior Staff
10916,Make,Spataro,1/3/1962,10/2/1998,1/1/9999,Engineer
10933,Juyoung,Seghrouchni,1/24/1965,8/2/1993,1/1/9999,Senior Engineer
10937,Anyuan,Nanard,9/11/1964,5/3/1991,1/1/9999,Senior Engineer
10939,Matk,Akazan,7/13/1964,12/11/1997,1/1/9999,Assistant Engineer
10951,Marco,Iisaku,1/20/1962,7/6/1989,1/1/9999,Staff
10954,Ranga,Burnard,11/16/1964,12/14/1995,1/1/9999,Staff
10964,Takushi,Bolsens,4/2/1962,5/5/1991,1/1/9999,Staff
10966,Danel,Pardalos,7/4/1962,11/12/1999,1/1/9999,Staff
10967,Eran,Adachi,10/1/1962,8/1/1993,1/1/9999,Senior Engineer
10970,Gen,Tiemann,8/24/1962,11/14/1995,1/1/9999,Engineer
10975,Peternela,Birnbaum,7/27/1962,1/14/1997,1/1/9999,Engineer
10976,Hitomi,Valette,1/27/1963,10/31/1998,1/1/9999,Technique Leader
10978,Huiqun,Bellone,9/24/1962,5/18/1985,1/1/9999,Engineer
10980,Filipp,Munawer,11/10/1963,1/4/1989,1/1/9999,Senior Engineer
10982,Yishay,Decleir,2/27/1964,11/11/1989,1/1/9999,Staff
10995,Chenye,Hertweck,2/26/1963,7/19/1997,1/1/9999,Senior Staff
11007,Olivera,Maccarone,3/16/1962,10/15/1996,1/1/9999,Engineer
11010,Jaques,Narwekar,3/20/1963,12/18/1986,1/1/9999,Senior Staff
11022,Apostol,Pintelas,2/2/1964,10/18/1993,1/1/9999,Senior Staff
11023,Yifei,Driscoll,1/8/1964,6/12/1990,1/1/9999,Senior Staff
11029,Georgi,Itzfeldt,7/12/1962,12/27/1992,1/1/9999,Senior Staff
11035,Bangqing,Atrawala,9/25/1963,7/26/1998,1/1/9999,Staff
11036,Muzhong,Greenaway,9/4/1962,10/24/1988,1/1/9999,Staff
11041,Stamatina,Matheson,1/12/1964,1/29/1998,1/1/9999,Senior Engineer
11049,Gift,Apsitis,2/12/1963,5/12/1995,1/1/9999,Staff
11058,Shigeaki,Cyre,4/24/1962,6/7/1985,1/1/9999,Senior Staff
11059,Shawna,Jarecki,5/26/1962,11/17/1986,1/1/9999,Senior Engineer
11074,Spyrose,Peak,8/17/1963,6/15/1995,1/1/9999,Staff
11076,Youssef,Schaad,5/15/1963,9/17/1999,1/1/9999,Engineer
11096,Shugo,Zallocco,2/21/1962,6/8/1994,1/1/9999,Senior Engineer
11108,Danae,Grabner,4/15/1962,6/12/1992,1/1/9999,Senior Staff
11109,Chinho,Stamatiou,11/5/1964,3/29/1985,1/1/9999,Senior Staff
11122,Aleksandar,Randi,8/12/1964,10/15/1995,1/1/9999,Staff
11124,Gladys,Porenta,7/12/1963,4/16/1990,1/1/9999,Staff
11136,Gladys,Luiz,6/1/1964,12/6/1990,1/1/9999,Senior Engineer
11142,Moheb,Raney,11/19/1964,11/4/1993,1/1/9999,Senior Engineer
11149,Domenico,Imataki,6/28/1964,8/26/1987,1/1/9999,Staff
11172,Kristian,Sudkamp,6/25/1963,6/20/2000,1/1/9999,Staff
11175,Aksel,Rajaraman,6/30/1963,11/29/1996,1/1/9999,Engineer
11182,Tze,Steinauer,10/29/1962,12/6/1994,1/1/9999,Engineer
11191,Pradeep,Crooks,10/20/1963,12/14/1991,1/1/9999,Senior Staff
11193,Val,Kumaresan,8/13/1964,1/28/1998,1/1/9999,Senior Staff
11198,Leif,Gini,5/12/1963,2/7/1988,1/1/9999,Senior Staff
11200,Renny,Junet,6/5/1964,4/8/1995,1/1/9999,Technique Leader
11202,Marek,Ranon,11/1/1964,2/26/1996,1/1/9999,Senior Staff
11205,Tayeb,Ebeling,2/5/1962,11/9/1995,1/1/9999,Staff
11209,Xuejun,Penn,6/25/1964,2/8/2000,1/1/9999,Engineer
11216,Utz,Perng,2/22/1963,5/3/1999,1/1/9999,Technique Leader
11220,Sahrah,Figueira,6/25/1962,10/27/1995,1/1/9999,Staff
11225,Maria,Schicker,4/25/1963,10/17/1996,1/1/9999,Senior Engineer
11235,Larisa,Schueller,11/13/1964,11/9/1998,1/1/9999,Senior Engineer
11236,Marek,Orlowska,1/27/1963,3/23/1995,1/1/9999,Senior Engineer
11238,Kwan,Chenoweth,12/28/1962,2/14/1999,1/1/9999,Senior Engineer
11246,Maik,Reinhart,11/16/1964,6/3/1998,1/1/9999,Engineer
11260,Ingemar,Schade,6/11/1963,5/16/1996,1/1/9999,Staff
11261,Claudi,Demri,9/5/1963,12/6/1987,1/1/9999,Engineer
11262,Bokyung,Melski,12/24/1962,4/30/1994,1/1/9999,Staff
11264,Uma,Oehlmann,3/15/1964,10/9/1986,1/1/9999,Senior Engineer
11269,Garnik,Slutz,4/2/1962,5/30/1997,1/1/9999,Staff
11270,Gina,Falster,10/10/1962,9/4/1989,1/1/9999,Senior Staff
11282,Josyula,Schaad,1/31/1964,6/9/1997,1/1/9999,Staff
11283,Shmuel,Codenie,2/25/1964,6/30/1987,1/1/9999,Staff
11285,Randy,Koshino,2/23/1962,11/23/1999,1/1/9999,Staff
11286,Joydip,Gini,12/4/1964,2/16/1988,1/1/9999,Senior Staff
11287,Sreenivas,Farrag,8/16/1963,8/12/1987,1/1/9999,Staff
11307,Mohd,Dratva,11/8/1963,4/30/1995,1/1/9999,Staff
11309,Caolyn,Ranai,5/28/1963,1/26/1999,1/1/9999,Staff
11313,Paraskevi,Kusalik,6/21/1962,2/28/1986,1/1/9999,Senior Staff
11316,Ult,Farrar,11/2/1963,7/18/1997,1/1/9999,Assistant Engineer
11318,Gopalakrishnan,Unno,9/9/1964,1/25/1986,1/1/9999,Staff
11345,Youngkon,Maierhofer,8/11/1964,11/25/1998,1/1/9999,Engineer
11346,Jungsoon,Fiebach,4/25/1962,6/11/1992,1/1/9999,Senior Staff
11348,Vishu,Kroll,4/26/1962,10/2/1991,1/1/9999,Staff
11355,Shim,Gecsei,9/12/1962,11/30/1999,1/1/9999,Technique Leader
11361,Zhonghui,Birdsall,12/7/1962,1/31/1997,1/1/9999,Engineer
11362,Tooru,Hockney,11/24/1963,10/29/1987,1/1/9999,Senior Engineer
11363,Jenwei,Milicia,4/27/1962,3/16/1986,1/1/9999,Staff
11367,Christophe,Slobodova,12/7/1962,11/4/1999,1/1/9999,Staff
11382,Akemi,Otillio,4/4/1962,6/4/1991,1/1/9999,Engineer
11383,Billur,Herbst,2/22/1964,11/26/1999,1/1/9999,Staff
11384,Jaana,Veccia,12/17/1962,6/3/1994,1/1/9999,Senior Staff
11391,Jouko,Antonakopoulos,3/26/1963,10/14/1994,1/1/9999,Engineer
11394,Masadi,Uhrik,1/2/1964,12/20/1988,1/1/9999,Staff
11397,Fumiya,Kisuki,9/1/1963,12/12/1992,1/1/9999,Technique Leader
11407,Thanasis,Thebaut,1/11/1962,5/6/1991,1/1/9999,Staff
11411,Shigehito,Giaccio,4/6/1962,5/17/1992,1/1/9999,Staff
11412,Werner,Demeyer,2/25/1963,2/2/1996,1/1/9999,Staff
11424,Lein,Sudkamp,4/7/1963,2/14/1991,1/1/9999,Senior Staff
11427,Haldun,Iisaka,8/15/1963,8/4/1999,1/1/9999,Staff
11435,Utpal,Lichtman,5/29/1962,10/15/1986,1/1/9999,Senior Staff
11440,Lubomir,Jahnichen,12/7/1964,3/3/1994,1/1/9999,Engineer
11443,Szabolcs,Nivat,5/30/1962,8/15/1989,1/1/9999,Staff
11444,Sangeeta,Leuchs,11/17/1963,1/1/1992,1/1/9999,Engineer
11453,Fei,Lakshmanan,11/18/1962,7/13/1990,1/1/9999,Technique Leader
11464,Boutros,Simkin,10/22/1962,5/30/1992,1/1/9999,Engineer
11466,Naftali,Koshino,1/4/1964,7/2/1989,1/1/9999,Senior Engineer
11470,Khalid,Michaels,10/11/1962,8/10/1999,1/1/9999,Engineer
11478,Nidapan,Ginneken,3/18/1962,9/10/1999,1/1/9999,Senior Staff
11482,Uri,Deverell,10/16/1964,4/3/1991,1/1/9999,Staff
11486,Itzchak,Ramaiah,3/5/1963,5/31/1985,1/1/9999,Staff
11487,Arumugam,Cairo,7/11/1963,10/14/1997,1/1/9999,Engineer
11488,Houman,Veldwijk,11/18/1962,8/25/1987,1/1/9999,Engineer
11489,Sandeepan,Yeung,11/12/1962,3/24/1991,1/1/9999,Senior Staff
11492,Menkae,Mikschl,7/2/1962,5/22/1994,1/1/9999,Engineer
11495,Shin,Barriga,1/2/1964,9/13/1989,1/1/9999,Staff
11496,Toshimo,Marakhovsky,8/20/1963,7/9/1992,1/1/9999,Engineer
11504,Saeed,Ananiadou,6/16/1962,9/30/1990,1/1/9999,Senior Engineer
11505,Shietung,Billingsley,11/15/1963,11/15/1996,1/1/9999,Engineer
11511,Arlette,Mikschl,6/2/1964,5/28/1997,1/1/9999,Assistant Engineer
11512,Nidapan,Hagimont,9/24/1962,9/1/1987,1/1/9999,Engineer
11514,Georgy,Iwayama,8/17/1963,5/14/1990,1/1/9999,Senior Engineer
11544,Elzbieta,Thimonier,9/5/1964,10/22/1996,1/1/9999,Senior Staff
11545,Bartek,Lieblein,8/1/1962,9/19/1986,1/1/9999,Senior Engineer
11546,Duro,Vuskovic,12/22/1964,6/30/1987,1/1/9999,Senior Staff
11550,Divine,Georgakopoulos,8/27/1962,12/16/1997,1/1/9999,Engineer
11551,Subhrajyoti,Gonthier,8/28/1962,5/9/1986,1/1/9999,Senior Engineer
11565,Yoshinari,Sankaranarayanan,9/2/1963,2/3/1988,1/1/9999,Senior Engineer
11566,Martina,Quittner,10/7/1964,1/9/1995,1/1/9999,Engineer
11579,Jinxi,Merel,6/1/1962,5/25/1997,1/1/9999,Staff
11586,Shridhar,Orsini,8/2/1963,9/9/1997,1/1/9999,Staff
11593,Eckart,Gunderson,5/4/1963,3/9/1999,1/1/9999,Engineer
11594,Pradeep,Butner,1/30/1962,12/4/1994,1/1/9999,Staff
11598,Sariel,Ertl,6/7/1964,4/2/1994,1/1/9999,Engineer
11604,Deborah,Baar,7/11/1962,12/11/1990,1/1/9999,Senior Engineer
11610,Eirik,Sidhu,7/17/1962,10/18/1985,1/1/9999,Engineer
11612,Siamak,Baar,1/15/1962,12/10/1990,1/1/9999,Engineer
11618,Gian,Juneja,2/8/1964,8/13/2001,1/1/9999,Staff
11622,Moon,Ginneken,10/14/1962,5/11/1992,1/1/9999,Senior Engineer
11623,Becky,Jullig,3/18/1964,3/5/1990,1/1/9999,Senior Engineer
11627,Zeljko,Schreiter,9/24/1964,10/31/1998,1/1/9999,Engineer
11629,Miquel,Muhlberg,12/5/1963,12/16/1994,1/1/9999,Staff
11635,Nalini,Mahnke,7/13/1964,10/13/1989,1/1/9999,Senior Engineer
11638,JoAnne,Falco,4/28/1964,1/17/1996,1/1/9999,Senior Engineer
11639,Khatoun,Herath,5/2/1964,2/18/1987,1/1/9999,Engineer
11653,Mohammed,Ananiadou,5/6/1963,2/26/1993,1/1/9999,Engineer
11655,Gift,Broomell,10/28/1963,9/23/1991,1/1/9999,Senior Engineer
11656,Aimee,Muniz,1/8/1963,1/25/1999,1/1/9999,Staff
11661,Candida,Moffat,2/5/1963,8/24/1995,1/1/9999,Engineer
11662,Mokhtar,Hofting,4/25/1963,2/16/1991,1/1/9999,Senior Staff
11670,Evgueni,Kroon,9/25/1964,5/17/1985,1/1/9999,Senior Staff
11682,Dante,Zumaque,3/13/1963,11/27/1986,1/1/9999,Staff
11687,Owen,Peak,2/28/1963,3/22/1992,1/1/9999,Senior Engineer
11694,Stamatina,Ozery,8/26/1962,3/31/1989,1/1/9999,Staff
11704,Naftali,Baalen,11/9/1964,4/4/1999,1/1/9999,Engineer
11707,Tooru,Hettesheimer,7/18/1964,4/7/1994,1/1/9999,Engineer
11716,Anneli,Leijenhorst,1/24/1962,5/9/1989,1/1/9999,Senior Engineer
11723,Halsur,Bauknecht,12/22/1962,5/18/1998,1/1/9999,Staff
11734,Ramya,Baezner,7/28/1963,8/9/1998,1/1/9999,Staff
11740,Isaac,Pero,5/21/1962,1/19/1990,1/1/9999,Senior Staff
11741,Valeri,Vigier,5/27/1962,2/4/1989,1/1/9999,Senior Staff
11745,Janche,Bahi,7/3/1964,12/12/1999,1/1/9999,Staff
11752,Bingning,Etalle,11/11/1964,11/10/1992,1/1/9999,Staff
11753,Fayez,Nishimukai,12/7/1963,5/1/1991,1/1/9999,Senior Staff
11757,Jackson,Meriste,5/22/1964,4/7/1987,1/1/9999,Senior Engineer
11759,Feixiong,Cincotta,2/1/1962,12/1/1996,1/1/9999,Assistant Engineer
11761,Bartek,Aamodt,7/17/1964,6/12/1991,1/1/9999,Senior Staff
11766,Nimmagadda,Berztiss,10/10/1964,10/27/1987,1/1/9999,Senior Engineer
11768,Krassimir,Erol,6/9/1964,4/25/1991,1/1/9999,Assistant Engineer
11775,Sajjad,Xiaoshan,6/16/1963,11/15/1988,1/1/9999,Senior Engineer
11777,Mayumi,Cooley,12/17/1962,6/21/1994,1/1/9999,Senior Staff
11780,Sugwoo,Sewelson,5/4/1963,11/10/1999,1/1/9999,Engineer
11781,Tua,Pluym,11/29/1964,12/4/1997,1/1/9999,Staff
11782,Tesuro,Lanzelotte,4/2/1962,2/1/1991,1/1/9999,Technique Leader
11786,Sarita,Birch,11/12/1963,2/28/1996,1/1/9999,Staff
11788,Georgy,Gopalakrishnan,4/11/1962,2/12/1999,1/1/9999,Technique Leader
11789,Udi,Khasidashvili,5/12/1962,8/18/1989,1/1/9999,Senior Staff
11794,Atreye,Ghandeharizadeh,10/25/1964,9/4/1992,1/1/9999,Engineer
11796,Sachem,Egerstedt,5/24/1963,1/23/1989,1/1/9999,Staff
